0	1	2	mean_p	var_p	n_snps	l2_diff	l2_diff_lower	diff_l2	diff_l2_lower
162	4	CAMK2D	1.5464989210344324e-76	9.868789611836392e-37	584	25.63498926452067	17.29377925220809	76.66060381519114	54.207232807589286
163	5	ATOX1	2.0170010430293926e-97	1.314626935237493e-56	551	36.6474084756924	25.020183592889282	95.29129049513517	67.38111769713532
164	5	ADAMTS16	3.1265860521692324e-93	1.2906391767483598e-37	716	21.451348364094827	14.311829335713568	75.58505123954737	53.44670228783111
165	14	TMEM260	1.4830429544474384e-58	6.049911331124863e-23	692	30.584632904742563	20.665891746318508	87.22794843512358	61.67947384747746
166	7	PPP1R9A	1.1535809621099366e-79	5.195961847486834e-44	542	34.88024364937441	23.80112787604405	93.62233048522803	66.20098475660134
167	17	RCVRN	4.202128078511962e-62	1.3478533333945603e-28	630	15.300882324048665	10.044067674549268	61.53911371357578	43.514724615095965
168	10	RP11-295P9.13	1.9838512179715424e-56	2.770180336378354e-21	715	22.81292187394257	15.348108079444067	83.90420085266122	59.32922939296638
169	2	LRRFIP1	1.1566033666022343e-63	1.6490534443510268e-35	571	25.114168760892966	16.84890829492265	73.1586195047489	51.730955954066914
170	14	AC008372.1	8.080087586721016e-73	1.0033271836778491e-36	573	29.79226583584004	20.328488259927752	86.83749193651994	61.403379409555896
171	20	SLC52A3	6.0132549482103844e-74	1.0517905202066832e-37	657	14.823662501758783	9.63049083359418	62.44230590452518	44.153377938029706
172	13	TNFRSF19	1.626417611976697e-74	8.4575738118057e-33	777	24.785123544212027	16.62077421751784	87.06370003182474	61.56333268770788
173	9	TMEM268	1.4564731016128162e-43	1.69061484806929e-17	682	19.435208268524377	13.18108476960407	86.3070300205673	61.02828619162552
174	12	CCDC91	2.250854382414964e-31	6.64968946641708e-18	663	36.00692849945142	24.764645517280357	101.69749016257553	71.91098492361938
175	15	MEF2A	6.295770147717244e-60	7.047353982166033e-39	606	23.27365289568587	15.67346043143683	76.91964408433365	54.39040193849953
176	8	ATP6V1B2	8.787560018293104e-113	2.527049893114246e-78	648	33.74632144403482	22.80323045433105	90.7199035855103	64.14865901391425
177	6	RIOK1	1.1279704311250865e-61	3.2282537357375514e-25	609	20.176098555077132	13.605433425648556	80.29810082772774	56.77933161169761
178	2	REG1A	1.911502390335716e-58	8.492267159361435e-13	536	18.036023248738317	12.21513050852753	72.47429661908993	51.24706660109444
179	8	RP1L1	7.208608797502975e-142	4.091222628647231e-133	757	93.46945869303912	64.59355975594653	168.70618368715523	119.29328651329705
180	8	NAT2	1.0371064889419863e-86	1.2262267261961621e-48	801	32.91276590280307	22.448184529215084	104.85525856854137	74.14386437689637
181	6	STK38	7.033387200637072e-67	4.33080090459464e-35	559	25.064673491855103	16.94012183614162	76.03611285332539	53.765651013663444
182	13	SACS	3.807210846144804e-54	1.0853517933665245e-31	644	22.257280930381086	14.91532916233949	78.70149792011341	55.65036286886411
183	1	ADGRL2	3.385886824919238e-79	7.517283904739879e-36	773	23.128194301505516	15.601829989931062	86.26722344306697	61.000138690741515
184	11	HBD	2.2835135456536848e-70	3.1856842609544933e-40	876	31.742682140460232	21.734659227266377	119.89642980576156	84.77957855572167
185	12	MDM1	1.2588470109501482e-76	3.8423429462582764e-53	574	25.557240002640413	17.221179459315543	79.13943650249553	55.9600322102056
186	9	TXN	7.861556130084831e-67	3.5685495026065587e-20	592	18.38575867772913	12.346553095915738	72.04148273443307	50.94102096826627
187	17	SHISA6	1.368652815408898e-97	6.649722078781378e-67	661	22.648983729204915	15.02932518634455	71.62487153598977	50.646432364728355
